"","Date","Crime","Atamelang"
"298","Apr-Jun 2022","CashInTansit",0
"299","Jul-Sep 2022","CashInTansit",0
"300","Oct-Dec 2022","CashInTansit",0
"301","Jan-Mar 2018","BankRobbery",0
"302","Apr-Jun 2018","BankRobbery",0
"303","Jul-Sep 2018","BankRobbery",0
"304","Oct-Dec 2018","BankRobbery",0
"305","Jan-Mar 2019","BankRobbery",0
"306","Apr-Jun 2019","BankRobbery",0
"307","Jul-Sep 2019","BankRobbery",0
"308","Oct-Dec 2019","BankRobbery",0
"309","Jan-Mar 2020","BankRobbery",0
"310","Apr-Jun 2020","BankRobbery",0
"311","Jul-Sep 2020","BankRobbery",0
"312","Oct-Dec 2020","BankRobbery",0
"313","Jan-Mar 2021","BankRobbery",0
"314","Apr-Jun 2021","BankRobbery",0
"315","Jul-Sep 2021","BankRobbery",0
"316","Oct-Dec 2021","BankRobbery",0
"317","Jan-Mar 2022","BankRobbery",0
"318","Apr-Jun 2022","BankRobbery",0
"319","Jul-Sep 2022","BankRobbery",0
"320","Oct-Dec 2022","BankRobbery",0
"321","Jan-Mar 2018","Truckhijacking",0
"322","Apr-Jun 2018","Truckhijacking",0
"323","Jul-Sep 2018","Truckhijacking",0
"324","Oct-Dec 2018","Truckhijacking",0
"325","Jan-Mar 2019","Truckhijacking",0
"326","Apr-Jun 2019","Truckhijacking",0
"327","Jul-Sep 2019","Truckhijacking",0
"328","Oct-Dec 2019","Truckhijacking",0
"329","Jan-Mar 2020","Truckhijacking",0
"330","Apr-Jun 2020","Truckhijacking",0
"331","Jul-Sep 2020","Truckhijacking",0
"332","Oct-Dec 2020","Truckhijacking",0
"333","Jan-Mar 2021","Truckhijacking",0
"334","Apr-Jun 2021","Truckhijacking",0
"335","Jul-Sep 2021","Truckhijacking",0
"336","Oct-Dec 2021","Truckhijacking",0
"337","Jan-Mar 2022","Truckhijacking",0
"338","Apr-Jun 2022","Truckhijacking",0
"339","Jul-Sep 2022","Truckhijacking",0
"340","Oct-Dec 2022","Truckhijacking",0
"341","Jan-Mar 2018","Arson",2
"342","Apr-Jun 2018","Arson",0
"343","Jul-Sep 2018","Arson",0
"344","Oct-Dec 2018","Arson",0
"345","Jan-Mar 2019","Arson",2
"346","Apr-Jun 2019","Arson",1
"347","Jul-Sep 2019","Arson",1
"348","Oct-Dec 2019","Arson",1
"349","Jan-Mar 2020","Arson",0
"350","Apr-Jun 2020","Arson",1
"351","Jul-Sep 2020","Arson",2
"352","Oct-Dec 2020","Arson",1
"353","Jan-Mar 2021","Arson",0
"354","Apr-Jun 2021","Arson",1
"355","Jul-Sep 2021","Arson",2
"356","Oct-Dec 2021","Arson",0
"357","Jan-Mar 2022","Arson",0
"358","Apr-Jun 2022","Arson",2
"359","Jul-Sep 2022","Arson",0
"360","Oct-Dec 2022","Arson",0
"361","Jan-Mar 2018","MaliciousPropertyDamage",2
"362","Apr-Jun 2018","MaliciousPropertyDamage",7
"363","Jul-Sep 2018","MaliciousPropertyDamage",3
"364","Oct-Dec 2018","MaliciousPropertyDamage",6
"365","Jan-Mar 2019","MaliciousPropertyDamage",5
"366","Apr-Jun 2019","MaliciousPropertyDamage",8
"367","Jul-Sep 2019","MaliciousPropertyDamage",6
"368","Oct-Dec 2019","MaliciousPropertyDamage",7
"369","Jan-Mar 2020","MaliciousPropertyDamage",5
"370","Apr-Jun 2020","MaliciousPropertyDamage",2
"371","Jul-Sep 2020","MaliciousPropertyDamage",8
"372","Oct-Dec 2020","MaliciousPropertyDamage",8
"373","Jan-Mar 2021","MaliciousPropertyDamage",6
"374","Apr-Jun 2021","MaliciousPropertyDamage",3
