"","Date","Crime","Amalia"
"395","Jul-Sep 2021","NonResidenceBurglery",1
"396","Oct-Dec 2021","NonResidenceBurglery",2
"397","Jan-Mar 2022","NonResidenceBurglery",1
"398","Apr-Jun 2022","NonResidenceBurglery",2
"399","Jul-Sep 2022","NonResidenceBurglery",0
"400","Oct-Dec 2022","NonResidenceBurglery",1
"401","Jan-Mar 2018","ResidencialBurglery",7
"402","Apr-Jun 2018","ResidencialBurglery",6
"403","Jul-Sep 2018","ResidencialBurglery",5
"404","Oct-Dec 2018","ResidencialBurglery",2
"405","Jan-Mar 2019","ResidencialBurglery",6
"406","Apr-Jun 2019","ResidencialBurglery",3
"407","Jul-Sep 2019","ResidencialBurglery",5
"408","Oct-Dec 2019","ResidencialBurglery",5
"409","Jan-Mar 2020","ResidencialBurglery",8
"410","Apr-Jun 2020","ResidencialBurglery",9
"411","Jul-Sep 2020","ResidencialBurglery",5
"412","Oct-Dec 2020","ResidencialBurglery",10
"413","Jan-Mar 2021","ResidencialBurglery",10
"414","Apr-Jun 2021","ResidencialBurglery",8
"415","Jul-Sep 2021","ResidencialBurglery",8
"416","Oct-Dec 2021","ResidencialBurglery",2
"417","Jan-Mar 2022","ResidencialBurglery",9
"418","Apr-Jun 2022","ResidencialBurglery",4
"419","Jul-Sep 2022","ResidencialBurglery",6
"420","Oct-Dec 2022","ResidencialBurglery",4
"421","Jan-Mar 2018","MotorTheft",0
"422","Apr-Jun 2018","MotorTheft",0
"423","Jul-Sep 2018","MotorTheft",1
"424","Oct-Dec 2018","MotorTheft",0
"425","Jan-Mar 2019","MotorTheft",0
"426","Apr-Jun 2019","MotorTheft",0
"427","Jul-Sep 2019","MotorTheft",0
"428","Oct-Dec 2019","MotorTheft",0
"429","Jan-Mar 2020","MotorTheft",0
"430","Apr-Jun 2020","MotorTheft",0
"431","Jul-Sep 2020","MotorTheft",0
"432","Oct-Dec 2020","MotorTheft",0
"433","Jan-Mar 2021","MotorTheft",1
"434","Apr-Jun 2021","MotorTheft",0
"435","Jul-Sep 2021","MotorTheft",0
"436","Oct-Dec 2021","MotorTheft",0
"437","Jan-Mar 2022","MotorTheft",0
"438","Apr-Jun 2022","MotorTheft",0
