"","Date","Crime","Assen"
"465","Jan-Mar 2019","StockTheft",2
"466","Apr-Jun 2019","StockTheft",2
"467","Jul-Sep 2019","StockTheft",0
"468","Oct-Dec 2019","StockTheft",1
"469","Jan-Mar 2020","StockTheft",1
"470","Apr-Jun 2020","StockTheft",2
"471","Jul-Sep 2020","StockTheft",3
"472","Oct-Dec 2020","StockTheft",1
"473","Jan-Mar 2021","StockTheft",2
"474","Apr-Jun 2021","StockTheft",0
"475","Jul-Sep 2021","StockTheft",3
"476","Oct-Dec 2021","StockTheft",4
"477","Jan-Mar 2022","StockTheft",2
"478","Apr-Jun 2022","StockTheft",2
"479","Jul-Sep 2022","StockTheft",5
"480","Oct-Dec 2022","StockTheft",8
"481","Jan-Mar 2018","OtherTheft",14
"482","Apr-Jun 2018","OtherTheft",19
"483","Jul-Sep 2018","OtherTheft",11
"484","Oct-Dec 2018","OtherTheft",19
"485","Jan-Mar 2019","OtherTheft",15
"486","Apr-Jun 2019","OtherTheft",11
"487","Jul-Sep 2019","OtherTheft",13
"488","Oct-Dec 2019","OtherTheft",6
"489","Jan-Mar 2020","OtherTheft",14
"490","Apr-Jun 2020","OtherTheft",7
"491","Jul-Sep 2020","OtherTheft",17
"492","Oct-Dec 2020","OtherTheft",9
"493","Jan-Mar 2021","OtherTheft",8
"494","Apr-Jun 2021","OtherTheft",8
"495","Jul-Sep 2021","OtherTheft",20
"496","Oct-Dec 2021","OtherTheft",8
"497","Jan-Mar 2022","OtherTheft",19
"498","Apr-Jun 2022","OtherTheft",27
"499","Jul-Sep 2022","OtherTheft",16
"500","Oct-Dec 2022","OtherTheft",21
"501","Jan-Mar 2018","CommecialCrimes",1
"502","Apr-Jun 2018","CommecialCrimes",0
"503","Jul-Sep 2018","CommecialCrimes",1
"504","Oct-Dec 2018","CommecialCrimes",4
"505","Jan-Mar 2019","CommecialCrimes",2
"506","Apr-Jun 2019","CommecialCrimes",2
"507","Jul-Sep 2019","CommecialCrimes",0
"508","Oct-Dec 2019","CommecialCrimes",0
"509","Jan-Mar 2020","CommecialCrimes",0
"510","Apr-Jun 2020","CommecialCrimes",0
"511","Jul-Sep 2020","CommecialCrimes",0
"512","Oct-Dec 2020","CommecialCrimes",0
"513","Jan-Mar 2021","CommecialCrimes",0
"514","Apr-Jun 2021","CommecialCrimes",1
"515","Jul-Sep 2021","CommecialCrimes",1
"516","Oct-Dec 2021","CommecialCrimes",2
"517","Jan-Mar 2022","CommecialCrimes",1
"518","Apr-Jun 2022","CommecialCrimes",1
"519","Jul-Sep 2022","CommecialCrimes",1
"520","Oct-Dec 2022","CommecialCrimes",0
"521","Jan-Mar 2018","ShopLifiting",0
"522","Apr-Jun 2018","ShopLifiting",0
"523","Jul-Sep 2018","ShopLifiting",0
"524","Oct-Dec 2018","ShopLifiting",0
"525","Jan-Mar 2019","ShopLifiting",0
"526","Apr-Jun 2019","ShopLifiting",0
"527","Jul-Sep 2019","ShopLifiting",0
"528","Oct-Dec 2019","ShopLifiting",0
"529","Jan-Mar 2020","ShopLifiting",0
"530","Apr-Jun 2020","ShopLifiting",0
"531","Jul-Sep 2020","ShopLifiting",0
"532","Oct-Dec 2020","ShopLifiting",0
"533","Jan-Mar 2021","ShopLifiting",0
"534","Apr-Jun 2021","ShopLifiting",0
"535","Jul-Sep 2021","ShopLifiting",0
"536","Oct-Dec 2021","ShopLifiting",0
"537","Jan-Mar 2022","ShopLifiting",0
"538","Apr-Jun 2022","ShopLifiting",0
"539","Jul-Sep 2022","ShopLifiting",0
"540","Oct-Dec 2022","ShopLifiting",0
"541","Jan-Mar 2018","IllegalPossessionofFirearms",0
"542","Apr-Jun 2018","IllegalPossessionofFirearms",0
"543","Jul-Sep 2018","IllegalPossessionofFirearms",0
"544","Oct-Dec 2018","IllegalPossessionofFirearms",0
"545","Jan-Mar 2019","IllegalPossessionofFirearms",0
"546","Apr-Jun 2019","IllegalPossessionofFirearms",2
"547","Jul-Sep 2019","IllegalPossessionofFirearms",0
"548","Oct-Dec 2019","IllegalPossessionofFirearms",0
"549","Jan-Mar 2020","IllegalPossessionofFirearms",0
"550","Apr-Jun 2020","IllegalPossessionofFirearms",0
"551","Jul-Sep 2020","IllegalPossessionofFirearms",0
"552","Oct-Dec 2020","IllegalPossessionofFirearms",0
"553","Jan-Mar 2021","IllegalPossessionofFirearms",19
"554","Apr-Jun 2021","IllegalPossessionofFirearms",0
"555","Jul-Sep 2021","IllegalPossessionofFirearms",4
"556","Oct-Dec 2021","IllegalPossessionofFirearms",5
"557","Jan-Mar 2022","IllegalPossessionofFirearms",2
"558","Apr-Jun 2022","IllegalPossessionofFirearms",0
"559","Jul-Sep 2022","IllegalPossessionofFirearms",0
"560","Oct-Dec 2022","IllegalPossessionofFirearms",2
"561","Jan-Mar 2018","DrugCrimes",42
"562","Apr-Jun 2018","DrugCrimes",46
"563","Jul-Sep 2018","DrugCrimes",50
"564","Oct-Dec 2018","DrugCrimes",10
"565","Jan-Mar 2019","DrugCrimes",12
"566","Apr-Jun 2019","DrugCrimes",16
"567","Jul-Sep 2019","DrugCrimes",25
"568","Oct-Dec 2019","DrugCrimes",14
"569","Jan-Mar 2020","DrugCrimes",17
"570","Apr-Jun 2020","DrugCrimes",0
"571","Jul-Sep 2020","DrugCrimes",0
